#step	time	cpu_time	id	type	size1	size2	id	type	size1	size2	react	id	type	size1	size2	id	type	size1	size2
61527459	0.0001268	39.925	1229	2	1	0	1022	1	1	0	anneal	-	-	-	-	-	-	-	-
61947307	0.000128992	40.34	1249	4	218	514	-	-	-	-	trap_mutation	1250	2	1	0	1251	4	219	514
61947315	0.000128992	40.34	1252	4	218	514	-	-	-	-	trap_mutation	1253	2	1	0	1254	4	219	514
61947333	0.000128992	40.34	1255	4	218	514	-	-	-	-	trap_mutation	1256	2	1	0	1257	4	219	514
61993690	0.000129002	40.386	1256	2	1	0	707	1	1	0	anneal	-	-	-	-	-	-	-	-
61997464	0.000138196	40.402	-	-	-	-	-	-	-	-	cascade.100.1.txt	-	-	-	-	-	-	-	-
61997698	0.000138198	40.403	1276	2	1	0	1266	1	1	0	anneal	-	-	-	-	-	-	-	-
62484681	0.000138221	40.941	1305	4	219	518	-	-	-	-	trap_mutation	1306	2	2	0	1307	4	221	518
62849724	0.000138422	41.342	1315	4	220	518	-	-	-	-	trap_mutation	1316	2	1	0	1317	4	221	518
62853017	0.000138422	41.347	1318	4	220	518	-	-	-	-	trap_mutation	1319	2	1	0	1320	4	221	518
62866152	0.000138424	41.36	1319	2	1	0	1192	1	1	0	anneal	-	-	-	-	-	-	-	-
63035732	0.000138541	41.513	1323	2	1	0	1188	1	1	0	anneal	-	-	-	-	-	-	-	-
63272578	0.00014247	41.754	-	-	-	-	-	-	-	-	cascade.100.2.txt	-	-	-	-	-	-	-	-
63272578	0.00014247	41.755	1329	1	1	0	1339	2	1	0	anneal	-	-	-	-	-	-	-	-
63272632	0.000142475	41.755	1341	2	1	0	1331	1	1	0	anneal	-	-	-	-	-	-	-	-
63544367	0.000142485	42.065	1373	4	221	519	-	-	-	-	trap_mutation	1374	2	1	0	1375	4	222	519
63547934	0.000142485	42.069	1376	4	221	519	-	-	-	-	trap_mutation	1377	2	1	0	1378	4	222	519
63548974	0.000142485	42.071	1379	4	221	519	-	-	-	-	trap_mutation	1380	2	1	0	1381	4	222	519
64026678	0.000142539	42.601	1388	5	3	4	-	-	-	-	trap_mutation	1389	2	4	0	1390	4	1	4
65658091	0.000145037	44.381	1401	2	1	0	1026	1	1	0	anneal	-	-	-	-	-	-	-	-
65658673	0.000145757	44.382	-	-	-	-	-	-	-	-	cascade.100.1.txt	-	-	-	-	-	-	-	-
65658676	0.000145758	44.383	1421	2	1	0	1411	1	1	0	anneal	-	-	-	-	-	-	-	-
65848482	0.000145766	44.622	1446	4	221	519	-	-	-	-	trap_mutation	1447	2	1	0	1448	4	222	519
66627714	0.000146205	45.53	1458	4	221	519	-	-	-	-	trap_mutation	1459	2	1	0	1460	4	222	519
67101083	0.000148163	46.012	-	-	-	-	-	-	-	-	cascade.100.1.txt	-	-	-	-	-	-	-	-
67101148	0.000148164	46.013	1486	2	1	0	1476	1	1	0	anneal	-	-	-	-	-	-	-	-
67118731	0.000148164	46.04	1506	4	221	519	-	-	-	-	trap_mutation	1507	2	1	0	1508	4	222	519
67884041	0.000148213	46.986	1526	4	221	519	-	-	-	-	trap_mutation	1527	2	1	0	1528	4	222	519
67884110	0.000148213	46.987	1529	4	221	519	-	-	-	-	trap_mutation	1530	2	1	0	1531	4	222	519
68084721	0.000148611	47.212	1536	4	221	519	-	-	-	-	trap_mutation	1537	2	1	0	1538	4	222	519
68228007	0.000151096	47.377	-	-	-	-	-	-	-	-	cascade.100.6.txt	-	-	-	-	-	-	-	-
68228007	0.000151096	47.378	1547	1	1	0	1557	2	1	0	anneal	-	-	-	-	-	-	-	-
68228039	0.000151096	47.379	1566	2	1	0	1556	1	1	0	anneal	-	-	-	-	-	-	-	-
68244830	0.000151096	47.401	1589	5	3	4	-	-	-	-	trap_mutation	1590	2	4	0	1591	4	1	4
68290198	0.000151098	47.458	1565	2	1	0	1020	1	1	0	anneal	-	-	-	-	-	-	-	-
